1.000E-02 = radius(micron) ionized PAH/graphitic solid             
w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>
6.026E+01 3.829E-04 3.829E-04 3.017E-12 8.27E-06
5.957E+01 3.913E-04 3.913E-04 3.155E-12 7.99E-06
5.888E+01 3.999E-04 3.999E-04 3.299E-12 7.68E-06
5.821E+01 4.086E-04 4.086E-04 3.450E-12 7.36E-06
5.754E+01 4.175E-04 4.175E-04 3.607E-12 7.02E-06
5.689E+01 4.265E-04 4.265E-04 3.771E-12 6.66E-06
5.623E+01 4.356E-04 4.356E-04 3.943E-12 6.29E-06
5.559E+01 4.449E-04 4.449E-04 4.122E-12 5.90E-06
5.495E+01 4.542E-04 4.542E-04 4.309E-12 5.50E-06
5.433E+01 4.637E-04 4.637E-04 4.504E-12 5.08E-06
5.370E+01 4.734E-04 4.734E-04 4.707E-12 4.66E-06
5.309E+01 4.831E-04 4.831E-04 4.920E-12 4.22E-06
5.248E+01 4.929E-04 4.929E-04 5.142E-12 3.77E-06
5.188E+01 5.029E-04 5.029E-04 5.373E-12 3.31E-06
5.129E+01 5.129E-04 5.129E-04 5.615E-12 2.83E-06
5.070E+01 5.230E-04 5.230E-04 5.867E-12 2.33E-06
5.012E+01 5.332E-04 5.332E-04 6.130E-12 1.83E-06
4.955E+01 5.435E-04 5.435E-04 6.404E-12 1.33E-06
4.898E+01 5.539E-04 5.539E-04 6.690E-12 8.33E-07
4.842E+01 5.643E-04 5.643E-04 6.989E-12 3.47E-07
4.786E+01 5.747E-04 5.747E-04 7.300E-12-1.32E-07
4.732E+01 5.852E-04 5.852E-04 7.625E-12-6.01E-07
4.677E+01 5.957E-04 5.957E-04 7.963E-12-1.06E-06
4.624E+01 6.062E-04 6.062E-04 8.316E-12-1.50E-06
4.571E+01 6.167E-04 6.167E-04 8.684E-12-1.93E-06
4.519E+01 6.272E-04 6.272E-04 9.067E-12-2.34E-06
4.467E+01 6.376E-04 6.376E-04 9.467E-12-2.69E-06
4.416E+01 6.480E-04 6.480E-04 9.883E-12-3.02E-06
4.365E+01 6.584E-04 6.584E-04 1.032E-11-3.34E-06
4.315E+01 6.686E-04 6.686E-04 1.077E-11-3.65E-06
4.266E+01 6.787E-04 6.787E-04 1.124E-11-3.94E-06
4.217E+01 6.887E-04 6.887E-04 1.173E-11-4.22E-06
4.169E+01 6.986E-04 6.986E-04 1.224E-11-4.48E-06
4.121E+01 7.083E-04 7.083E-04 1.278E-11-4.72E-06
4.074E+01 7.178E-04 7.178E-04 1.333E-11-4.97E-06
4.027E+01 7.271E-04 7.271E-04 1.391E-11-5.23E-06
3.981E+01 7.362E-04 7.362E-04 1.451E-11-5.48E-06
3.936E+01 7.451E-04 7.451E-04 1.514E-11-5.73E-06
3.890E+01 7.537E-04 7.537E-04 1.580E-11-5.97E-06
3.846E+01 7.620E-04 7.620E-04 1.648E-11-6.21E-06
3.802E+01 7.700E-04 7.700E-04 1.719E-11-6.45E-06
3.758E+01 7.777E-04 7.777E-04 1.793E-11-6.68E-06
3.715E+01 7.851E-04 7.851E-04 1.870E-11-6.90E-06
3.673E+01 7.922E-04 7.922E-04 1.951E-11-7.12E-06
3.631E+01 7.989E-04 7.989E-04 2.035E-11-7.34E-06
3.589E+01 8.052E-04 8.052E-04 2.122E-11-7.55E-06
3.548E+01 8.111E-04 8.111E-04 2.214E-11-7.76E-06
3.508E+01 8.166E-04 8.166E-04 2.309E-11-7.97E-06
3.467E+01 8.216E-04 8.216E-04 2.408E-11-8.16E-06
3.428E+01 8.263E-04 8.263E-04 2.511E-11-8.35E-06
3.388E+01 8.305E-04 8.305E-04 2.619E-11-8.54E-06
3.350E+01 8.342E-04 8.342E-04 2.732E-11-8.71E-06
3.311E+01 8.374E-04 8.374E-04 2.849E-11-8.86E-06
3.273E+01 8.402E-04 8.402E-04 2.971E-11-9.01E-06
3.236E+01 8.425E-04 8.425E-04 3.099E-11-9.15E-06
3.199E+01 8.443E-04 8.443E-04 3.233E-11-9.28E-06
3.162E+01 8.456E-04 8.456E-04 3.372E-11-9.40E-06
3.126E+01 8.465E-04 8.465E-04 3.518E-11-9.51E-06
3.090E+01 8.469E-04 8.469E-04 3.670E-11-9.61E-06
3.055E+01 8.469E-04 8.469E-04 3.829E-11-9.69E-06
3.020E+01 8.464E-04 8.464E-04 3.995E-11-9.77E-06
2.985E+01 8.455E-04 8.455E-04 4.168E-11-9.83E-06
2.951E+01 8.443E-04 8.443E-04 4.350E-11-9.89E-06
2.917E+01 8.426E-04 8.426E-04 4.539E-11-9.94E-06
2.884E+01 8.405E-04 8.405E-04 4.738E-11-9.98E-06
2.851E+01 8.381E-04 8.381E-04 4.945E-11-1.00E-05
2.818E+01 8.353E-04 8.353E-04 5.162E-11-1.00E-05
2.786E+01 8.321E-04 8.321E-04 5.389E-11-1.00E-05
2.754E+01 8.286E-04 8.286E-04 5.627E-11-1.00E-05
2.723E+01 8.248E-04 8.248E-04 5.875E-11-1.00E-05
2.692E+01 8.208E-04 8.208E-04 6.136E-11-9.99E-06
2.661E+01 8.164E-04 8.164E-04 6.408E-11-9.96E-06
2.630E+01 8.118E-04 8.118E-04 6.693E-11-9.90E-06
2.600E+01 8.070E-04 8.070E-04 6.992E-11-9.84E-06
2.570E+01 8.021E-04 8.021E-04 7.305E-11-9.75E-06
2.541E+01 7.969E-04 7.969E-04 7.632E-11-9.65E-06
2.512E+01 7.917E-04 7.917E-04 7.975E-11-9.53E-06
2.483E+01 7.865E-04 7.865E-04 8.333E-11-9.36E-06
2.455E+01 7.813E-04 7.813E-04 8.709E-11-9.13E-06
2.427E+01 7.763E-04 7.763E-04 9.102E-11-8.87E-06
2.399E+01 7.718E-04 7.718E-04 9.514E-11-8.70E-06
2.371E+01 7.684E-04 7.684E-04 9.946E-11-8.56E-06
2.344E+01 7.668E-04 7.668E-04 1.040E-10-8.43E-06
2.317E+01 7.653E-04 7.653E-04 1.087E-10-8.31E-06
2.291E+01 7.581E-04 7.581E-04 1.137E-10-8.19E-06
2.265E+01 7.479E-04 7.479E-04 1.189E-10-8.06E-06
2.239E+01 7.399E-04 7.399E-04 1.244E-10-7.93E-06
2.213E+01 7.353E-04 7.353E-04 1.301E-10-7.80E-06
2.188E+01 7.357E-04 7.357E-04 1.361E-10-7.65E-06
2.163E+01 7.439E-04 7.439E-04 1.424E-10-7.50E-06
2.138E+01 7.625E-04 7.625E-04 1.490E-10-7.34E-06
2.113E+01 7.653E-04 7.653E-04 1.559E-10-7.16E-06
2.089E+01 7.345E-04 7.345E-04 1.631E-10-6.98E-06
2.065E+01 7.087E-04 7.087E-04 1.707E-10-6.78E-06
2.042E+01 6.928E-04 6.928E-04 1.786E-10-6.56E-06
2.018E+01 6.821E-04 6.821E-04 1.869E-10-6.32E-06
1.995E+01 6.740E-04 6.740E-04 1.957E-10-6.05E-06
1.972E+01 6.672E-04 6.672E-04 2.048E-10-5.72E-06
1.950E+01 6.613E-04 6.613E-04 2.143E-10-5.40E-06
1.928E+01 6.560E-04 6.560E-04 2.243E-10-5.11E-06
1.905E+01 6.516E-04 6.516E-04 2.348E-10-4.84E-06
1.884E+01 6.488E-04 6.488E-04 2.458E-10-4.59E-06
1.862E+01 6.505E-04 6.505E-04 2.574E-10-4.35E-06
1.841E+01 6.714E-04 6.714E-04 2.695E-10-4.10E-06
1.820E+01 6.941E-04 6.941E-04 2.821E-10-3.86E-06
1.799E+01 6.457E-04 6.457E-04 2.954E-10-3.62E-06
1.778E+01 6.295E-04 6.295E-04 3.093E-10-3.37E-06
1.758E+01 6.221E-04 6.221E-04 3.239E-10-3.12E-06
1.738E+01 6.174E-04 6.174E-04 3.391E-10-2.87E-06
1.718E+01 6.139E-04 6.139E-04 3.551E-10-2.62E-06
1.698E+01 6.116E-04 6.116E-04 3.719E-10-2.35E-06
1.679E+01 6.113E-04 6.113E-04 3.894E-10-2.09E-06
1.660E+01 6.200E-04 6.200E-04 4.078E-10-1.82E-06
1.641E+01 7.106E-04 7.106E-04 4.271E-10-1.55E-06
1.622E+01 6.177E-04 6.177E-04 4.472E-10-1.28E-06
1.603E+01 6.034E-04 6.034E-04 4.684E-10-9.97E-07
1.585E+01 5.995E-04 5.995E-04 4.905E-10-7.20E-07
1.567E+01 5.975E-04 5.975E-04 5.137E-10-4.51E-07
1.549E+01 5.963E-04 5.963E-04 5.380E-10-1.85E-07
1.531E+01 5.956E-04 5.956E-04 5.635E-10 8.08E-08
1.514E+01 5.953E-04 5.953E-04 5.902E-10 3.45E-07
1.496E+01 5.953E-04 5.953E-04 6.182E-10 6.19E-07
1.479E+01 5.955E-04 5.955E-04 6.475E-10 8.97E-07
1.462E+01 5.964E-04 5.964E-04 6.782E-10 1.18E-06
1.445E+01 5.978E-04 5.978E-04 7.103E-10 1.47E-06
1.429E+01 5.996E-04 5.996E-04 7.440E-10 1.76E-06
1.413E+01 6.017E-04 6.017E-04 7.792E-10 2.07E-06
1.396E+01 6.043E-04 6.043E-04 8.161E-10 2.38E-06
1.380E+01 6.075E-04 6.075E-04 8.548E-10 2.70E-06
1.365E+01 6.113E-04 6.113E-04 8.952E-10 3.04E-06
1.349E+01 6.160E-04 6.160E-04 9.376E-10 3.38E-06
1.334E+01 6.216E-04 6.216E-04 9.821E-10 3.74E-06
1.318E+01 6.289E-04 6.289E-04 1.029E-09 4.11E-06
1.303E+01 6.385E-04 6.385E-04 1.077E-09 4.50E-06
1.288E+01 6.500E-04 6.500E-04 1.128E-09 4.90E-06
1.274E+01 6.597E-04 6.597E-04 1.182E-09 5.31E-06
1.259E+01 6.633E-04 6.633E-04 1.238E-09 5.75E-06
1.245E+01 6.630E-04 6.630E-04 1.296E-09 6.23E-06
1.230E+01 6.640E-04 6.640E-04 1.358E-09 6.72E-06
1.216E+01 6.696E-04 6.696E-04 1.422E-09 7.19E-06
1.202E+01 6.844E-04 6.844E-04 1.489E-09 7.63E-06
1.189E+01 7.026E-04 7.026E-04 1.562E-09 8.07E-06
1.175E+01 6.993E-04 6.993E-04 1.639E-09 8.52E-06
1.161E+01 7.103E-04 7.103E-04 1.724E-09 8.96E-06
1.148E+01 8.395E-04 8.395E-04 1.754E-09 9.38E-06
1.135E+01 8.200E-04 8.200E-04 1.864E-09 9.84E-06
1.122E+01 8.121E-04 8.121E-04 1.956E-09 1.03E-05
1.109E+01 7.677E-04 7.677E-04 2.051E-09 1.08E-05
1.096E+01 7.468E-04 7.468E-04 2.149E-09 1.12E-05
1.084E+01 7.415E-04 7.415E-04 2.252E-09 1.17E-05
